article_id;biomarker_name;biomarker_type;type_sample_tech;app_stage;key_results;limitations
Salih, 2016;Complemento C3;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Todas);"Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD).
Sobrerrepresentado en análisis de enriquecimiento.
Correlación positiva y significativa con volumen renal total (r = 0.65, p < 0.01).
El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una tendencia a una correlación moderada con el peso renal (r = 0.57, p = 0.05).";"Su especificidad está en actual discusión.
Pendiente de validación y estandarización."
Salih, 2016;Villina-1;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Avanzada);"Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD).
Sobrerrepresentado en análisis de enriquecimiento.
Mayor abundancia en estadíos avanzados de ADPKD (inmunoblot).
Correlación positiva y significativa con volumen renal total (r = 0.51, p < 0.005).
El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación con el peso renal (r = 0.64, p < 0.05).";"Útil solo para fases avanzadas de ADPKD.
Pendiente de validación y estandarización."
Salih, 2016;Periplakina;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Avanzada);"Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD).
Sobrerrepresentado en análisis de enriquecimiento.
Mayor abundancia en estadíos avanzados de ADPKD (inmunoblot).
Correlación positiva y significativa con volumen renal total (r = 0.51, p < 0.005).
El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación baja y no significativa con el peso renal (r = 0.21, p = 0.5).";"Útil solo para fases avanzadas de ADPKD.
Pendiente de validación y estandarización."
Salih, 2016;Envoplakina;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Avanzada);"Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD).
Sobrerrepresentado en análisis de enriquecimiento.
Mayor abundancia en estadíos avanzados de ADPKD (inmunoblot).
Correlación positiva y significativa con volumen renal total (r = 0.71, p < 0.01).
El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación con el peso renal (r = 0.71, p < 0.01).";"Útil solo para fases avanzadas de ADPKD.
Pendiente de validación y estandarización."
Salih, 2016;Complemento C9;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Todas);"Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD).
Sobrerrepresentado en análisis de enriquecimiento.
Correlación positiva y significativa con volumen renal total (r = 0.65, p < 0.01).
El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación moderada con el peso renal (r = 0.83, p < 0.01).";"Su especificidad está en actual discusión.
Pendiente de validación y estandarización."
Raptis, 2018;HIF-1a;['Bioquímico'];Bioquímico (Sangre) / ELISA;Diagnóstico, pronóstico, respuesta a la terapia (Aumenta su concentración con el progreso de la enfermedad);"El Grupo A tenía niveles significativamente más altos (163,68 ± 37,84 pg/mL) en comparación con el Grupo B (136,84 ± 42,10 pg/mL, p = 0,019) y con los controles (70,20 ± 17,49 pg/mL, p < 0,001).
También significativamente más alto en Grupo B vs Controles (p < 0,001). Este marcador tiene una fuerte correlación con la ADMA (r = 0,998, p < 0,001).";Pendiente de validación y estandarización.
Rauniyar, 2018;APOA1;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Upregulado: log2FC > 3.7, FDR < 0.05).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Rauniyar, 2018;APOA2;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Upregulado: log2FC > 3.2, FDR < 0.05).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Rauniyar, 2018;APOA4;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Upregulado en ADPKD (log2FC > 4.7, FDR < 0.05).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Rauniyar, 2018;DPEP1;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Downregulado: log2FC < -1.2, FDR < 0.001).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Rauniyar, 2018;EGF;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Downregulado: log2FC < -1.5, FDR < 0.001).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Raptis, 2018;Endocano;['Bioquímico'];Bioquímico (Sangre) / ELISA;Diagnóstico, pronóstico, respuesta a la terapia (Aumenta su concentración con el progreso de la enfermedad);"El Grupo A tenía niveles significativamente más altos (7,17 ± 0,43 ng/mL) en comparación con el Grupo B (6,86 ± 0,59 ng/mL, p = 0,017) y con los controles (4,83 ± 0,69 ng/mL, p < 0,001).
También significativamente más alto en Grupo B vs Controles (p < 0,001).
Fuerte correlación con la ADMA (r = 0,908, p < 0,001).";Pendiente de validación y estandarización.
Rauniyar, 2018;GAS6;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Downregulado: log2FC < -1.5, FDR < 0.001).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Raptis, 2018;Angiopoyetina-2;['Bioquímico'];Bioquímico (Sangre) / ELISA;Diagnóstico, pronóstico, respuesta a la terapia (Aumenta su concentración con el progreso de la enfermedad);"El Grupo A tenía niveles significativamente más altos (5.595,43 ± 3.390) en comparación con el Grupo B (3.854,41 ± 3.014,30, p = 0,018) y con los controles (1.069 ± 427,88 pg/mL, p < 0,001).
También significativamente más alto en Grupo B vs Controles (p < 0,001).
Este marcador tiene una fuerte correlación con la ADMA (r = 0,983, p < 0,001).";Pendiente de validación y estandarización.
Evenepoel, 2019;TRAP5b;['Bioquímico'];Bioquímico (Sangre) / Análisis bioquímico;Aún por definir. ();Niveles significativamente mayores en pacientes con ERT (no ADPKD) que en pacientes con ERT debida a ADPKD (p < 0.01).;"Implicaciones clínicas aún por definir.
Pendiente de validación y estandarización."
Evenepoel, 2019;Esclerostina;['Bioquímico'];Bioquímico (Sangre) / Análisis bioquímico;Aún por definir. ();"Niveles significativamente menores en pacientes con ERT (no ADPKD) que en pacientes con ERT debida a ADPKD (p < 0.001).
Esto se asocia con una mecanosensación alterada, bajo turnover óseo e incluso osteopenia.";"Implicaciones clínicas aún por definir.
Pendiente de validación y estandarización."
Evenepoel, 2019;Densidad Mineral Ósea (DMO);['Antropométrico'];Antropométrico (Imagen) / DXA;Aún por definir. ();Mejor preservada en pacientes con ADPKD que en aquellos con ERT (no ADPKD).;"Implicaciones clínicas aún por definir.
Pendiente de validación y estandarización."
Kocyigit, 2019;Criterios de Síndrome Metabólico NCEP-ATP III (se considera MS si se cumplen al menos 3/5);['Antropométrico,', 'bioquímico'];Antropométrico, bioquímico (Antropométricos, sangre) / Exploración física, análisis bioquímicos;Posible marcador de progresión rápida. ();"En el análisis multivariado, tener una mutación truncante en PKD1 predijo la presencia de SM (OR 1.25; p = 0.002).
Los pacientes con ADPKD y SM también presentan una progresión más rápida de la enfermedad que aquellos que no tienen SM (OR 3.28; p = 0.035)";Pendiente de validación y estandarización.
Evenepoel, 2019;BsAP;['Bioquímico'];Bioquímico (Sangre) / Análisis bioquímico;Aún por definir. ();Niveles significativamente mayores en pacientes con ERT (no ADPKD) que en pacientes con ERT debida a ADPKD (p < 0.001).;"Implicaciones clínicas aún por definir.
Pendiente de validación y estandarización."
Raby, 2021;HSP90;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Posible marcador de progresión en progresadores rápidos. (Inicial (en progresadores rápidos));Expresada diferencialmente por progresadores rápidos en fases intermedias de la enfermedad (log2FC > 1.5, p < 0.05).;Pendiente de validación y estandarización.
Raby, 2021;Fetuína-A;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Aumenta su concentración con el progreso de la enfermedad);Su concentración incrementa con la gravedad de la enfermedad.;Pendiente de validación y estandarización.
Raby, 2021;SNX18;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Posible marcador de progresión en progresadores rápidos. (Intermedia (en progresadores rápidos));Expresada diferencialmente por progresadores rápidos en fases intermedias de la enfermedad (log2FC > 1.5, p < 0.05).;Pendiente de validación y estandarización.
Raby, 2021;AVPR2;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Posible marcador de progresión rápida. (Más presente en progresadores rápidos, sobre todo de isoformas de distinto peso molecular (70, 35, 25 KDa cuando el peso normal es de 40).);;Pendiente de validación y estandarización.
Raby, 2021;VIP36;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Posible marcador de progresión en progresadores rápidos. (Avanzada (en progresadores rápidos));Expresada diferencialmente por progresadores rápidos en fases intermedias de la enfermedad (log2FC > 1.5, p > 0.05).;Pendiente de validación y estandarización.
Dekker, 2022;Betaína;['Metabolómico'];Metabolómico (Orina) / Espectrometría de NMR;Posible marcador de progresión en progresadores rápidos. (Más presente en progresadores rápidos, sobre todo de isoformas de distinto peso molecular (70, 35, 25 KDa cuando el peso normal es de 40).);"Elevado en los progresadores rápidos (log2FC > 0, p < 0.05), forma parte del modelo de metabolitos (AUC = 0.72) el cual consigue la máxima AUC al combinarlo con la htTKV (AUC = 0.75; htTKV por separado, AUC = 0.67).";Pendiente de validación y estandarización.
Kocyigit, 2022;Nivel de expresión de TERRA;['Transcriptómico'];Transcriptómico (Sangre) / qRT-PCR;Diagnóstico, pronóstico, posible maracdor de progresión en progresadores rápidos. ();"Los niveles de TERRA eran significativamente más altos en pacientes ADPKD que en controles (p < 0.001).
A pesar de no encontrar diferencias significativas entre PKD1 y PKD2, los pacientes con progresión rápida (todos PKD1 excepto uno con mutación en PKD2) mostraron una expresión de terra significativamente mayor (p < 0.001).
En la regresión logística multivariable, un aumento en los niveles de TERRA predijo mayores probabilidades de ser rápido progresador en pacientes ADPKD (OR 5.6, p < 0.05).";Pendiente de validación y estandarización.
Kocyigit, 2022;Longitud de Telómeros;['Genómico'];Genómico (Sangre) / qRT-PCR;Diagnóstico, pronóstico, posible maracdor de progresión en progresadores rápidos. ();"Se encontró una TL significativamente menor en pacientes ADPKD vs controles (p < 0.001).
Aunque no se encontraron diferencias significativas entre PKD1 y PKD2, los pacientes con progresión rápida (todos PKD1 excepto uno con mutación en PKD2) tenían una TL significativamente mayor (p < 0.05).";Pendiente de validación y estandarización.
Kim, 2022;Osteopontina;['Transcriptómico,', 'bioquímico'];Transcriptómico, bioquímico (Sobrenadante de cultivo celular, orina) / RNA-seq, RT-PCR, ELISA;Diagnóstico, pronóstico, posible maracdor de progresión en progresadores rápidos. (Inicial);"Sus niveles de mRNA eran inferiores en las células PKD2-/- respecto a las PKD2+/- y PKD2+/+ (p < 0.01), siendo los niveles de estas últimas dos indiferentes., y también en las células de quiste renal de pacientes con ADPKD.
Al estudiar la expresión en células epiteliales del túbulo proximal vs células quísticas, el mRNA medido por RT-PCR era significativamente mayor en las primeras que en las segundas (p < 0.05), lo cual concordaba con el nivel de proteína medido por ELISA (p < 0.001).
No se vieron diferencias entre las células quísticas.
Por último, los niveles de OPN en orina medidos por ELISA mostraron diferencias significativas entre pacientes no ADPKD y ADPKD (p < 0.05) y también entre progresadores rápidos y lentos (p < 0.05).";"Es importante ajustar por factores de confusión.
Pendiente de validación y estandarización."
Dekker, 2022;Ratio mioinositol/citrato;['Metabolómico'];Metabolómico (Orina) / Espectrometría de NMR;Posible marcador de progresión en progresadores rápidos. (Aumenta su concentración con el progreso de la enfermedad);"En el estudio longitudinal, aumenta en progresadores rápidos (p < 0.001) mientras que en los lentos no lo hace (p = 0.38).
Además, como se incrementa con el tiempo y el avance de la enfermedad, los progresadores rápidos tienen un incremento mucho mayor en el mismo intervalo de tiempo que los lentos (p < 0.01).";Pendiente de validación y estandarización.
Dekker, 2022;Ratio alanina/citrato;['Metabolómico'];Metabolómico (Orina) / Espectrometría de NMR;Posible marcador de progresión en progresadores rápidos. (Más presente en progresadores rápidos, sobre todo de isoformas de distinto peso molecular (70, 35, 25 KDa cuando el peso normal es de 40).);"Elevado en los progresadores rápidos (log2FC > 0, p < 0.05), forma parte del modelo de metabolitos (AUC = 0.72) el cual consigue la máxima AUC al combinarlo con la htTKV (AUC = 0.75; htTKV por separado, AUC = 0.67).";Pendiente de validación y estandarización.
Dekker, 2022;Fenilacetilglicina;['Metabolómico'];Metabolómico (Orina) / Espectrometría de NMR;Posible marcador de progresión en progresadores rápidos. (Más presente en progresadores rápidos, sobre todo de isoformas de distinto peso molecular (70, 35, 25 KDa cuando el peso normal es de 40).);"Disminuido en los progresadores rápidos (log2FC < 0, p < 0.05), forma parte del modelo de metabolitos (AUC = 0.72) el cual consigue la máxima AUC al combinarlo con la htTKV (AUC = 0.75; htTKV por separado, AUC = 0.67).";Pendiente de validación y estandarización.
Dekker, 2022;Citrato;['Metabolómico'];Metabolómico (Orina) / Espectrometría de NMR;Posible marcador de progresión en progresadores rápidos. (Disminuye su concentración con la progresión de la enfermedad.);Disminuido en los progresadores rápidos (log2FC < 0, p < 0.05), también se ha visto en el estudio longitudinal que este marcador disminuye mucho más en progresadores rápidos que en lentos.;Pendiente de validación y estandarización.
Fang, 2023;TMED5 (mRNA);['Transcriptómico'];Transcriptómico (Biopsia renal, sangre, Lisado de cultivo celular) / Análisis de enriquecimiento, qRT-PCR;Diagnóstico, pronóstico, respuesta a la terapia ();"Downregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05).
Downregulado in vitro en ADPKD qRT-PCR (p < 0.05).
Inhibido in vitro por la sobreexpresión de miR-199a-3p.";Pendiente de validación y estandarización.
Fang, 2023;RUNX1T1 (mRNA);['Transcriptómico'];Transcriptómico (Biopsia renal, sangre, Lisado de cultivo celular) / Análisis de enriquecimiento, qRT-PCR;Diagnóstico, pronóstico, respuesta a la terapia ();"Upregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05).
Upregulado in vitro en ADPKD qRT-PCR (p < 0.05).
Inhibido in vitro por la sobreexpresión de miR-107.";Pendiente de validación y estandarización.
Fang, 2023;PRKCE (mRNA);['Transcriptómico'];Transcriptómico (Biopsia renal, sangre, Lisado de cultivo celular) / Análisis de enriquecimiento, qRT-PCR;Diagnóstico, pronóstico, respuesta a la terapia ();"Downregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05).
Downregulado in vitro en ADPKD qRT-PCR (p < 0.05).
Inhibido in vitro por la sobreexpresión de miR-199a-3p.";Pendiente de validación y estandarización.
Fang, 2023;miR-199a-3p;['Transcriptómico'];Transcriptómico (Biopsia renal, sangre, Lisado de cultivo celular) / Análisis de enriquecimiento, qRT-PCR;Diagnóstico, pronóstico, respuesta a la terapia ();"Upregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05).
Su sobreexpresión in vitro atenuó la expresión de PRKCE y de TMED5.";Pendiente de validación y estandarización.
Fang, 2023;miR-107;['Transcriptómico'];Transcriptómico (Biopsia renal, sangre, Lisado de cultivo celular) / Análisis de enriquecimiento, qRT-PCR;Diagnóstico, pronóstico, respuesta a la terapia ();"Downregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05).
Su sobreexpresión in vitro atenuó la expresión de RUNX1T1 y FGF2.";Pendiente de validación y estandarización.
Fang, 2023;FGF2 (mRNA);['Transcriptómico'];Transcriptómico (Biopsia renal, sangre, Lisado de cultivo celular) / Análisis de enriquecimiento, qRT-PCR;Diagnóstico, pronóstico, respuesta a la terapia ();"Upregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05).
Upregulado in vitro en ADPKD qRT-PCR (p < 0.05).
Inhibido in vitro por la sobreexpresión de miR-107.";Pendiente de validación y estandarización.
van Heugten, 2024;MMP7;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot, snRNA-seq;Posible marcador de progresión rápida. (Inicial e intermedia);"MMP-7 fue sistemáticamente mayor en las VE urinarias de progresadores rápidos (p < 0,001).
La validación interna por inmunoblot de esos análisis confirmó una abundancia significativamente mayor de MMP-7 en los progresadores rápidos en comparación con los pacientes de progreso más estable (p < 0,01).
Más aún, al normalizar estas medidas por CD9 (marcador de VE urinaria) esta mayor abundancia de MMP-7 en progresadores rápidos persistió (p < 0,01), igual que al medir su abundancia en la excreción de orina durante 24 horas (p < 0,01).
Finalmente, al hacer una validación externa en otros dos grupos de pacientes, la MMP-7 de VE también fue significativamente mayor en los progresadores rápidos (p < 0,05, p < 0,01).

Al hacer regresión lineal, la MMP-7/creatinina se correlacionó significativamente con el descenso de la eGFR en todos los modelos (univariante y multivariante), pero ninguno arrojó un valor R2 superior a 0,08.
También se compararon medidas de MMP-7 en VE vs orina, siendo la primera significativamente superior en varios grupos (p < 0,05, p < 0,01).
Además, estas dos medidas presentaban una correlación débil y no significativa.


A continuación, se realizó snRNA-seq de muestras de riñón donde la MMP-7 presentó una abundancia notablemente superior en el tejido de ADPKD vs en el de control sano.
Además, esta se detectó su expresión diferencial en las células del túbulo proximal y de la rama ascendente gruesa del asa de Henle, donde también se observó una mayor expresión de genes profibróticos.
Por último, al re-analizar datos de un estudio anterior no se detectó MMP-7 en individuos sanos, mientras que esta sí fue detectable y 13 veces mayor en la ERC con ADPKD en comparación con la ERC sin ADPKD.";"Es importante ajustar por factores de confusión.
Pendiente de validación y estandarización."
Zhang, 2024;CGT;['Bioquímico'];Bioquímico (Sangre) / Randomización mendeliana;Diagnóstico, pronóstico, respuesta a la terapia (Inicial);La randomización mendeliana con el método IVW arrojó un OR de 1.28 (p < 0.05), no se detectó heterogeneidad (Cochran's Q = 256.690, p = 0.81) ni pleiotropía (intercept = 0.011, p = 0.125), ni tampoco pleiotropía horizontal por el test de MR-PRESSO (p = 0.8).;"Es importante ajustar por factores de confusión.
Pendiente de validación y estandarización."
Zhang, 2024;SHBG;['Bioquímico'];Bioquímico (Sangre) / Randomización mendeliana;Diagnóstico, pronóstico, respuesta a la terapia (Inicial);La randomización mendeliana con el método IVW arrojó un OR de 1.27 (p < 0.05) no se detectó heterogeneidad (Cochran's Q = 211.479, p = 0.94) ni pleiotropía (intercept = 0.001, p = 0.87) ni pleiotropía horizontal por el test de MR-PRESSO (p = 0.95).;"Es importante ajustar por factores de confusión.
Pendiente de validación y estandarización."
